,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
14,530000.0,5,2.0,7.501082124259871,8.48673398393153,1.5,0.0,0.0,3,7,1810,0.0,1900,0.0,7.215239978730097,4850
15,650000.0,4,3.0,7.989560449333865,8.517193191416238,2.0,0.0,3.0,3,9,1980,970.0,1979,0.0,7.668561108015897,4000
16,395000.0,3,2.0,7.5443321080536885,9.549665677579801,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,7.5443321080536885,14018
17,485000.0,4,1.0,7.3777589082278725,8.366370301681654,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,7.383989457978509,4300
18,189000.0,2,1.0,7.090076835776092,9.195226734166134,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,6.966024187106113,5095
19,230000.0,3,1.0,7.1308988302963465,9.1874810778301,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,7.154615356913663,8850
20,385000.0,4,1.75,7.3901814282264295,8.513185170018698,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,7.24422751560335,4980
22,285000.0,5,2.5,7.727535110475448,8.748304912379623,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,7.7142311448490855,7005
23,252700.0,2,1.5,6.975413927455952,9.173987542510384,1.0,0.0,0.0,3,7,1070,0.0,1985,0.0,7.106606137727303,8386
24,329000.0,3,2.25,7.803843303538772,8.779557455883728,2.0,0.0,0.0,4,8,2450,0.0,1985,0.0,7.696212639346407,6865
25,233000.0,3,2.0,7.444248649496705,8.454679286026995,1.5,0.0,0.0,5,6,1710,0.0,1941,0.0,6.937314081223682,4705
27,667000.0,3,1.0,7.24422751560335,7.365812837209472,1.5,0.0,0.0,5,8,1400,0.0,1909,0.0,7.528331766707247,3861
28,438000.0,3,1.75,7.326465613840322,8.760923376338836,1.0,0.0,0.0,3,7,790,730.0,1948,0.0,7.326465613840322,6235
29,719000.0,4,2.5,7.851661177889265,8.878079256126435,2.0,0.0,0.0,3,8,2570,0.0,2005,0.0,7.874739125171811,6026
30,580500.0,3,2.5,7.749322464660356,8.289037098278483,2.0,0.0,0.0,3,8,2320,0.0,2003,0.0,7.855544677915663,3980
31,280000.0,2,1.5,7.081708586105575,7.142827401161621,3.0,0.0,0.0,3,7,1190,0.0,2005,0.0,7.237059026124737,1756
32,687500.0,4,1.75,7.753623546559746,8.517193191416238,1.5,0.0,0.0,4,7,1510,820.0,1929,0.0,7.286191714702382,5000
33,535000.0,3,1.0,6.993932975223189,8.006367567650246,1.5,0.0,0.0,4,8,1090,0.0,1929,0.0,7.358830898342354,5080
34,322500.0,4,2.75,7.630461261783627,8.803724602110622,1.0,0.0,0.0,3,7,1280,780.0,1981,0.0,7.61085279039525,8720
35,696000.0,3,2.5,7.7406644019172415,8.026170194946426,1.5,0.0,0.0,3,8,1510,790.0,1930,2002.0,7.371489295214277,3264
36,550000.0,4,1.0,7.414572881350589,10.458751025732687,1.0,0.0,0.0,1,5,930,730.0,1933,0.0,7.67786350067821,11467
37,640000.0,4,2.0,7.7664168980196555,8.699514748210191,2.0,0.0,0.0,4,8,2360,0.0,1904,0.0,7.455876687491824,4700
38,240000.0,4,1.0,7.106606137727303,8.996528148090857,1.0,0.0,0.0,2,7,890,330.0,1969,0.0,7.162397497355718,7800
39,605000.0,4,2.5,7.8709295967551425,8.929700114313448,2.0,0.0,0.0,3,8,2620,0.0,1996,0.0,7.8709295967551425,11884
40,625000.0,4,2.5,7.851661177889265,8.616133139271142,2.0,0.0,0.0,3,9,2570,0.0,2000,0.0,7.8119734296220225,5669
41,775000.0,4,2.25,8.347590407030058,10.09352923234522,1.0,0.0,0.0,3,8,2600,1620.0,1984,0.0,7.787382026484701,30617
42,861990.0,5,2.75,8.187299270155147,8.637462023807181,2.0,0.0,0.0,3,9,3595,0.0,2014,0.0,8.195609567288775,5639
43,685000.0,3,1.0,7.358830898342354,7.731930721948486,2.0,0.0,0.0,3,7,1570,0.0,1922,0.0,7.365180126021013,2640
44,309000.0,3,1.0,7.154615356913663,9.175334762777368,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,7.200424892944957,8808
45,488000.0,3,2.5,8.058327306580958,9.51804563563343,2.0,0.0,0.0,3,8,3160,0.0,2003,0.0,8.022896869601457,9232
46,210490.0,3,1.0,6.897704943128636,9.051110146405625,1.0,0.0,0.0,3,6,990,0.0,1966,0.0,7.113142108707088,8840
47,785000.0,4,2.5,7.736307096548285,9.504203303503045,2.0,0.0,0.0,4,9,2290,0.0,1981,0.0,7.893572073504902,13685
48,450000.0,3,1.75,7.1308988302963465,8.693328989123106,1.0,0.0,0.0,4,7,1250,0.0,1953,0.0,6.877296071497429,5100
50,228000.0,3,1.0,7.081708586105575,9.126850061477157,1.0,0.0,0.0,3,7,1190,0.0,1955,0.0,7.081708586105575,9364
51,345000.0,5,2.5,8.055157731819678,9.119758993744945,1.0,0.0,0.0,4,8,1640,1510.0,1966,0.0,7.595889917718538,9133
52,600000.0,3,1.75,7.251344983372214,8.313852267398207,1.0,0.0,0.0,4,7,1000,410.0,1950,0.0,7.251344983372214,4080
53,585000.0,2,1.75,7.590852123688581,9.053686561930807,1.0,0.0,0.0,3,7,990,990.0,1981,0.0,7.299797366758161,6738
55,885000.0,4,2.5,7.948031990637284,8.517193191416238,2.0,0.0,0.0,3,9,2830,0.0,1995,0.0,7.575584651557793,5000
56,292500.0,4,2.5,7.718685495198466,8.410720946905721,2.0,0.0,0.0,3,7,2250,0.0,2008,0.0,7.718685495198466,4500
57,301000.0,3,2.5,7.791522819150732,8.465899897028686,2.0,0.0,0.0,3,8,2420,0.0,2003,0.0,7.897296472595885,4750
59,430000.0,4,3.0,7.52294091807237,9.207937487359873,2.0,0.0,0.0,3,8,1850,0.0,1991,0.0,7.727535110475448,8542
60,650000.0,3,2.25,7.673223121121708,9.963406042747371,1.0,0.0,3.0,4,8,1590,560.0,1959,0.0,7.851661177889265,18900
61,289000.0,3,1.75,7.138866999945524,9.035986984831405,1.0,0.0,0.0,3,7,1260,0.0,1954,0.0,7.162397497355718,8750
62,505000.0,3,1.75,7.831617276352611,9.069928218259438,2.0,0.0,0.0,5,8,2519,0.0,1973,0.0,7.824046010856292,9500
63,549000.0,3,1.75,7.3395376954076745,6.950814768442584,3.0,0.0,0.0,3,8,1540,0.0,2014,0.0,7.365180126021013,3090
64,425000.0,3,2.25,7.414572881350589,8.699514748210191,1.0,0.0,0.0,3,7,1110,550.0,1979,0.0,7.272398392570047,4080
65,317625.0,3,2.75,7.926602599181384,8.245121966478605,1.5,0.0,0.0,5,7,1770,1000.0,1925,0.0,7.272398392570047,4000
67,287000.0,4,2.5,7.7142311448490855,8.444192298531748,2.0,0.0,0.0,3,7,2240,0.0,2005,0.0,7.7057128238944275,4557
68,204000.0,3,1.0,6.907755278982137,9.398478314091577,1.0,0.0,0.0,4,7,1000,0.0,1968,0.0,6.917705609835305,12635
71,325000.0,3,2.0,7.138866999945524,8.632662441222351,1.0,0.0,0.0,4,7,1260,0.0,1972,0.0,7.402451520818244,4745
72,571000.0,4,2.0,7.919356190660617,8.962776046120291,1.5,0.0,0.0,5,7,2250,500.0,1916,0.0,7.31986492980897,7807
73,360000.0,4,2.5,7.77485576666552,8.517193191416238,2.0,0.0,0.0,3,8,2380,0.0,2005,0.0,7.791522819150732,5000
74,349000.0,3,1.75,7.489970898834801,10.830302707866496,1.0,0.0,0.0,5,7,1090,700.0,1965,0.0,7.570443252057374,50529
75,832500.0,4,4.0,8.140315540159985,10.466013387887635,2.0,0.0,0.0,4,10,2390,1040.0,1986,0.0,8.083328608786376,35020
76,380000.0,4,1.75,7.473069088032197,8.895629627136483,1.0,0.0,0.0,3,7,880,880.0,1956,0.0,7.426549072397305,7500
77,480000.0,3,1.0,6.946975992135418,8.52912176228151,1.0,0.0,0.0,3,7,1040,0.0,1941,0.0,6.7912214627261855,5060
78,410000.0,3,1.0,7.251344983372214,8.52912176228151,1.0,0.0,0.0,4,7,910,500.0,1956,0.0,7.029972911706386,5693
79,720000.0,4,2.5,8.146129510025405,10.588678163379617,2.0,0.0,0.0,3,10,3450,0.0,2002,0.0,8.116715624819111,39750
80,390000.0,3,2.5,7.762170607138205,8.536995818712418,2.0,0.0,0.0,3,8,2350,0.0,2003,0.0,7.762170607138205,5363
81,360000.0,4,2.5,7.549609165154532,8.68084148294457,2.0,0.0,0.0,3,7,1900,0.0,1992,0.0,7.533693709848633,6405
82,355000.0,2,1.0,7.61085279039525,8.812843433517195,1.0,0.0,0.0,3,7,1010,1010.0,1948,0.0,7.450079569807499,6720
83,356000.0,3,1.5,7.426549072397305,9.072456664612796,1.0,0.0,0.0,3,8,1680,0.0,1964,0.0,7.52294091807237,8797
84,315000.0,3,1.0,6.866933284461882,8.799963219506997,1.0,0.0,0.0,3,6,960,0.0,1952,0.0,7.358830898342354,7203
86,305000.0,5,2.25,7.886081401775745,9.035986984831405,1.5,0.0,0.0,5,7,2660,0.0,1961,0.0,7.371489295214277,8165
87,461000.0,3,3.25,7.926602599181384,8.744806737401898,2.0,0.0,0.0,3,9,1980,790.0,2006,0.0,7.549609165154532,7349
88,215000.0,2,2.25,7.383989457978509,7.620705086838262,2.0,0.0,0.0,4,7,1610,0.0,1979,0.0,7.575584651557793,2025
89,335000.0,2,1.75,6.937314081223682,6.97166860472579,2.0,0.0,0.0,3,7,765,265.0,2006,0.0,6.937314081223682,1106
90,243500.0,4,2.5,7.590852123688581,8.909640602443098,2.0,0.0,0.0,3,7,1980,0.0,1988,0.0,7.590852123688581,7510
93,430000.0,3,1.5,7.365180126021013,8.517193191416238,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,7.358830898342354,4500
94,700000.0,3,1.5,7.365180126021013,8.517193191416238,1.0,0.0,0.0,3,8,1290,290.0,1939,0.0,7.358830898342354,4500
95,905000.0,4,2.5,8.101677747454572,9.235032984566555,1.0,0.0,0.0,3,7,2390,910.0,1946,1991.0,7.575584651557793,6045
96,247500.0,3,1.75,7.580699752224563,9.660205067381032,1.0,0.0,0.0,3,7,1960,0.0,1967,0.0,7.4673710669175595,15616
97,199000.0,4,1.5,7.05617528410041,8.764053269347762,1.0,0.0,0.0,4,7,1160,0.0,1975,0.0,7.05617528410041,6400
98,314000.0,3,1.75,7.501082124259871,10.640651618512848,1.0,0.0,0.0,5,7,1210,600.0,1980,0.0,7.408530566894626,135036
99,437500.0,3,2.5,7.749322464660356,10.51452948317723,2.0,0.0,2.0,3,9,2320,0.0,1992,0.0,7.843848638152472,35065
100,850830.0,3,2.5,7.635303886259415,9.491073355339758,1.5,0.0,0.0,5,9,1270,800.0,1910,0.0,7.696212639346407,4500
101,555000.0,3,2.0,7.590852123688581,8.154212694914229,1.5,0.0,0.0,4,7,1440,540.0,1929,0.0,7.383989457978509,3478
102,699950.0,3,2.25,7.691656822810547,11.586110868831522,2.0,0.0,0.0,4,8,2190,0.0,1983,0.0,7.851661177889265,47777
104,290000.0,3,1.0,7.098375638590786,10.431730608339187,1.0,0.0,0.0,3,7,1210,0.0,1954,0.0,7.402451520818244,14910
105,375000.0,3,2.5,7.757906208351747,9.210840247017833,1.0,0.0,0.0,4,8,1460,880.0,1978,0.0,7.718685495198466,8162
106,460000.0,3,1.0,7.4205789054108005,8.29529885950246,1.5,0.0,0.0,4,7,1170,500.0,1939,0.0,7.122866658599083,4005
107,188500.0,2,1.75,7.122866658599083,7.821242083523558,1.0,0.0,0.0,4,8,1240,0.0,1985,0.0,7.146772179452637,4966
108,680000.0,4,2.5,8.0519780789023,10.241280345410422,2.0,0.0,0.0,4,10,3140,0.0,1991,0.0,8.003028666384733,35001
109,470000.0,5,1.75,7.615791072035833,9.420763358881013,2.0,0.0,0.0,4,7,2030,0.0,1942,0.0,7.824046010856292,9433
110,597750.0,4,2.5,7.745002803515839,9.172015257654515,2.0,0.0,0.0,3,8,2310,0.0,1984,0.0,7.570443252057374,9636
111,570000.0,3,1.75,7.138866999945524,8.1101268019411,1.0,0.0,0.0,5,6,700,560.0,1905,0.0,7.22983877815125,3536
112,272500.0,3,1.75,7.3395376954076745,9.441452092939569,1.0,0.0,0.0,4,7,1160,0.0,1980,0.0,7.3395376954076745,11656
113,329950.0,3,1.75,7.640123172695364,8.69433468816865,1.0,0.0,2.0,3,7,1080,1000.0,1971,0.0,7.644919344958857,5500
114,480000.0,4,2.5,8.080237416216702,9.690974793577944,2.0,0.0,0.0,3,9,2520,710.0,2001,0.0,7.878534196140362,8517
115,740500.0,3,3.5,8.384804003370492,8.756210091886738,2.0,0.0,0.0,3,8,2780,0.0,1900,0.0,7.512071245835466,6350
116,518500.0,3,3.5,7.371489295214277,7.004881989712859,3.0,0.0,0.0,3,8,1590,0.0,2010,0.0,7.3901814282264295,3166
117,205425.0,2,1.0,6.779921907472252,8.821732380934442,1.0,0.0,0.0,4,6,880,0.0,1945,0.0,7.081708586105575,6780
119,535000.0,4,1.0,7.383989457978509,8.000349495324684,1.5,0.0,0.0,4,7,1610,0.0,1925,0.0,7.383989457978509,4040
120,660000.0,3,2.5,7.783224016336037,8.775549434486189,1.0,0.0,2.0,3,8,1560,840.0,1964,0.0,7.757906208351747,10856
121,391500.0,3,2.0,7.27931883541462,9.119540007649686,1.0,0.0,0.0,3,7,1450,0.0,1987,0.0,7.365180126021013,9104
122,395000.0,2,1.0,6.646390514847729,8.699514748210191,1.0,0.0,0.0,3,6,770,0.0,1953,0.0,7.444248649496705,6000
123,445000.0,4,1.75,7.649692623711514,8.389359819906353,1.5,0.0,0.0,5,7,1720,380.0,1924,0.0,7.52294091807237,4400
124,770000.0,3,2.25,7.975908360165538,9.230535079261703,2.0,0.0,0.0,3,9,2910,0.0,1990,0.0,7.90100705199242,13992
126,445000.0,3,2.25,7.649692623711514,9.012011377036412,1.0,0.0,2.0,3,8,1620,480.0,1967,0.0,7.886081401775745,8712
127,260000.0,4,2.25,7.67786350067821,9.08375621986673,1.0,0.0,0.0,3,8,1360,800.0,1978,0.0,7.644919344958857,8400
128,822500.0,5,3.5,7.749322464660356,8.509161019718974,2.0,0.0,0.0,5,7,1720,600.0,1926,0.0,7.438383530044307,4960
129,430000.0,4,2.5,7.635303886259415,8.368693183097793,2.0,0.0,0.0,3,7,2070,0.0,2004,0.0,7.585788821732034,3748
130,212000.0,3,1.75,6.966024187106113,8.971448463693834,1.0,0.0,0.0,4,7,1060,0.0,1986,0.0,7.258412150595307,7680
131,660500.0,4,2.25,7.605890001053122,9.169830828637973,1.0,0.0,0.0,3,8,1440,570.0,1986,0.0,7.630461261783627,9793
132,784000.0,3,3.5,8.281470857895167,11.617987936217231,1.5,0.0,0.0,3,9,2460,1490.0,1989,0.0,7.8160138391590275,88500
133,453246.0,3,2.5,7.605890001053122,7.734996194022781,2.0,0.0,0.0,3,8,1390,620.0,2014,0.0,7.432483807917119,1662
134,675000.0,4,3.5,7.668561108015897,7.731053144007127,3.0,0.0,0.0,3,9,2140,0.0,2005,0.0,7.3395376954076745,2285
135,199000.0,3,1.75,7.1853870155804165,9.763650607348328,1.0,0.0,0.0,4,7,1320,0.0,1956,0.0,7.346010209913293,19265
136,220000.0,4,1.75,7.61085279039525,8.966994113344454,1.0,0.0,0.0,3,7,1010,1010.0,1968,0.0,7.4673710669175595,8140
137,452000.0,4,2.25,7.859413154693583,9.21054035197885,1.0,0.0,0.0,4,8,1340,1250.0,1968,0.0,7.346010209913293,10436
138,382500.0,2,1.0,7.081708586105575,8.39840965542627,1.0,0.0,0.0,3,6,1190,0.0,1981,0.0,6.966024187106113,5715
139,519950.0,3,2.25,7.064759027791802,7.130098510125578,3.0,0.0,0.0,3,8,1170,0.0,2014,0.0,7.2078598714324755,1310
140,665000.0,2,1.0,7.01211529430638,8.070906088787819,1.0,0.0,0.0,3,7,1110,0.0,1925,0.0,7.064759027791802,3600
141,527700.0,5,2.5,7.944492163932159,9.14580185083861,1.0,0.0,0.0,4,8,1550,1270.0,1968,0.0,7.944492163932159,9375
142,205000.0,3,1.0,7.383989457978509,9.057072635572965,1.0,0.0,0.0,4,7,1010,600.0,1962,0.0,7.383989457978509,8579
143,420000.0,3,1.0,6.966024187106113,8.999248901686114,1.0,0.0,0.0,4,7,940,120.0,1923,0.0,7.352441100243583,7940
144,500000.0,4,2.25,7.615791072035833,9.04981944514108,1.0,0.0,0.0,4,8,1380,650.0,1961,0.0,7.709756864454165,8824
146,890000.0,4,1.0,7.843848638152472,8.294049640102028,2.0,0.0,0.0,3,8,2370,180.0,1905,0.0,7.696212639346407,4000
147,430000.0,2,2.5,7.791522819150732,11.01836681366811,2.0,0.0,0.0,3,7,2420,0.0,2007,0.0,7.570443252057374,193842
148,258000.0,5,2.0,7.723120092266331,9.433483923290392,1.0,0.0,0.0,4,8,1130,1130.0,1960,0.0,7.215239978730097,18000
149,511000.0,3,1.0,7.265429723253953,8.14757773620177,1.0,0.0,0.0,3,7,980,450.0,1947,0.0,7.27931883541462,4599
150,532170.0,3,2.0,7.215239978730097,8.035926369891792,2.0,0.0,0.0,3,8,1360,0.0,1990,0.0,7.313220387090301,3090
151,560000.0,3,1.0,7.01211529430638,8.517193191416238,1.5,0.0,0.0,3,7,1110,0.0,1947,0.0,7.258412150595307,5000
152,282950.0,3,1.0,7.1308988302963465,9.011889433252344,1.0,0.0,0.0,4,7,1250,0.0,1954,0.0,7.426549072397305,8633
154,350000.0,1,1.0,6.551080335043404,8.536995818712418,1.0,0.0,0.0,3,7,700,0.0,1942,0.0,6.917705609835305,5100
155,215000.0,3,1.0,7.07326971745971,8.94494150776486,1.0,0.0,0.0,4,7,1180,0.0,1967,0.0,7.081708586105575,7669
156,650000.0,5,3.5,8.283999304248526,10.136383395293016,2.0,0.0,0.0,3,9,2500,1460.0,1996,0.0,7.878534196140362,13675
157,320000.0,4,2.75,7.878534196140362,8.922658299524402,1.0,0.0,0.0,3,8,1620,1020.0,1967,0.0,7.590852123688581,7875
158,247000.0,3,2.0,7.146772179452637,8.881558488638976,1.5,0.0,0.0,3,7,1270,0.0,1916,2013.0,7.05617528410041,7198
159,320000.0,4,1.75,7.473069088032197,9.32188174670909,1.0,0.0,0.0,4,8,1760,0.0,1968,0.0,7.455876687491824,11180
160,255000.0,5,2.25,7.630461261783627,9.06323150693797,1.0,0.0,0.0,3,7,1030,1030.0,1962,0.0,6.917705609835305,11680
161,438000.0,3,1.75,7.484368643286131,9.175748927206564,1.0,0.0,0.0,3,7,1780,0.0,1962,0.0,7.090076835776092,9660
162,900000.0,3,2.5,8.131530710604252,9.717338680907787,2.0,0.0,0.0,3,10,3400,0.0,2000,0.0,8.131530710604252,12601
163,441000.0,3,2.75,7.554858521040676,8.892886141190731,1.0,0.0,0.0,3,7,1160,750.0,1979,0.0,7.444248649496705,8152
164,420000.0,3,2.0,7.61085279039525,10.554040335463652,1.0,0.0,0.0,4,7,1010,1010.0,1975,0.0,7.6544432264701125,36590
165,370000.0,3,1.75,7.365180126021013,8.85366542803745,1.0,0.0,0.0,3,7,1180,400.0,1976,0.0,7.402451520818244,7500
166,269950.0,2,1.75,7.200424892944957,8.88875674784872,1.0,0.0,0.0,5,5,700,640.0,1949,0.0,7.512071245835466,9750
167,807100.0,4,2.5,7.893572073504902,8.411610428841172,2.0,0.0,0.0,3,9,2680,0.0,1999,0.0,7.979338895262328,4500
168,653000.0,3,2.5,7.893572073504902,9.185022563991893,1.0,0.0,0.0,4,8,1610,1070.0,1979,0.0,7.8160138391590275,8750
169,371500.0,3,2.0,7.222566018822171,9.028338763993148,1.0,0.0,0.0,5,7,1370,0.0,1964,0.0,7.478734825567875,7288
170,284000.0,3,1.75,7.352441100243583,9.95227771670556,1.0,0.0,0.0,3,7,1560,0.0,1954,0.0,6.975413927455952,7920
171,272000.0,3,1.75,7.67786350067821,8.87346805533363,1.0,0.0,0.0,4,7,1670,490.0,1978,0.0,7.5652752818989315,7350
172,313000.0,3,1.5,7.200424892944957,8.976135873302548,1.5,0.0,0.0,3,7,1340,0.0,1955,0.0,7.299797366758161,7940
174,673000.0,4,2.25,7.859413154693583,9.010669176847115,2.0,0.0,0.0,4,8,2590,0.0,1980,0.0,7.723120092266331,8335
175,425000.0,3,2.5,7.02108396428914,7.003065458786462,2.0,0.0,0.0,3,8,820,300.0,2008,0.0,7.371489295214277,1795
176,399950.0,5,2.75,7.585788821732034,8.594154232552366,1.0,0.0,0.0,3,7,1320,650.0,1986,0.0,7.154615356913663,2150
177,385000.0,3,1.0,7.106606137727303,8.476371196895983,1.0,0.0,0.0,3,6,1220,0.0,1901,0.0,7.090076835776092,4800
178,269950.0,3,1.5,7.575584651557793,8.930626469173578,1.0,0.0,2.0,4,7,1320,630.0,1975,0.0,7.575584651557793,8941
179,330000.0,2,1.0,7.2078598714324755,9.014325488050225,1.0,0.0,0.0,3,7,1060,290.0,1949,0.0,7.3395376954076745,8280
180,260000.0,3,2.5,7.4205789054108005,8.665095821339733,2.0,0.0,0.0,3,7,1670,0.0,1988,0.0,7.4205789054108005,6183
181,470000.0,4,3.0,7.77485576666552,8.54188580400661,1.5,0.0,0.0,4,7,1680,700.0,1925,0.0,7.251344983372214,5375
182,589000.0,4,3.0,7.799753318287247,9.169518377455928,2.0,0.0,0.0,5,7,2440,0.0,1961,0.0,7.736307096548285,9600
184,835000.0,4,2.75,8.048788283534199,9.50390510758612,2.0,0.0,0.0,3,9,2140,990.0,1993,0.0,7.723120092266331,9984
186,269000.0,4,1.75,7.306531398939505,9.210340371976184,1.0,0.0,0.0,4,8,1100,390.0,1969,0.0,7.691656822810547,8910
187,560000.0,3,2.5,7.549609165154532,9.076123029856374,2.0,0.0,0.0,3,8,1900,0.0,1987,0.0,7.615791072035833,8744
188,615000.0,4,1.0,7.1929342212158,7.783224016336037,1.5,0.0,0.0,4,6,1330,0.0,1901,0.0,7.1929342212158,4400
189,585188.0,3,2.25,7.709756864454165,9.212936997823448,1.0,0.0,0.0,3,8,1430,800.0,1975,0.0,7.709756864454165,9340
190,305000.0,3,1.75,7.408530566894626,9.156939595249067,1.0,0.0,0.0,3,7,1220,430.0,1977,0.0,7.3395376954076745,8400
192,799000.0,3,2.5,7.668561108015897,9.199986959896691,1.0,0.0,0.0,4,8,2140,0.0,1959,0.0,7.893572073504902,10083
193,400000.0,3,2.5,7.687080155783135,8.9237243977064,1.0,0.0,0.0,4,7,1420,760.0,1962,0.0,7.549609165154532,7818
194,230000.0,3,1.0,6.966024187106113,9.232884336411077,1.0,0.0,0.0,3,7,1060,0.0,1948,0.0,7.358830898342354,10228
195,256883.0,3,2.5,7.432483807917119,8.522180732927277,2.0,0.0,0.0,3,8,1690,0.0,2003,0.0,7.843848638152472,5001
196,423000.0,4,2.0,7.585788821732034,8.776475789346321,1.5,0.0,0.0,5,7,1130,840.0,1920,0.0,7.313220387090301,6480
197,465000.0,3,2.5,7.673223121121708,8.314832179284556,2.0,0.0,0.0,3,8,2150,0.0,2007,0.0,7.4673710669175595,2385
198,440000.0,3,2.5,7.554858521040676,11.100601891263528,2.0,0.0,0.0,3,7,1910,0.0,1997,0.0,7.753623546559746,67268
199,385000.0,3,1.75,7.2078598714324755,11.951651252772821,1.0,0.0,0.0,4,7,1350,0.0,1969,0.0,7.352441100243583,50965
200,210000.0,3,1.0,6.756932389247553,9.36947859331448,1.0,0.0,0.0,4,6,860,0.0,1943,0.0,7.170119543449628,9514
201,297000.0,3,2.5,7.570443252057374,9.612600349135398,2.0,0.0,0.0,3,8,1940,0.0,1994,0.0,7.615791072035833,10450
202,470000.0,3,1.0,6.917705609835305,8.517193191416238,1.0,0.0,0.0,3,7,1010,0.0,1952,0.0,7.426549072397305,5000
203,226500.0,3,1.5,7.170119543449628,8.905172985183382,1.0,0.0,0.0,4,7,900,400.0,1976,0.0,7.265429723253953,7500
204,274250.0,3,1.0,6.813444599510896,9.041921720351219,1.0,0.0,0.0,4,6,910,0.0,1962,0.0,7.24422751560335,8040
205,840000.0,4,1.75,7.8160138391590275,9.306559229716726,1.0,0.0,0.0,4,9,1630,850.0,1966,0.0,7.926602599181384,10744
206,677900.0,3,2.5,7.799753318287247,8.430981494597171,2.0,0.0,0.0,3,8,2440,0.0,2010,0.0,7.919356190660617,4587
207,425000.0,3,1.0,6.917705609835305,8.676587243566487,1.0,0.0,0.0,3,7,1010,0.0,1915,0.0,7.162397497355718,5000
208,180250.0,2,0.75,6.802394763324311,9.169518377455928,1.0,0.0,0.0,3,6,900,0.0,1941,0.0,7.1308988302963465,14280
210,320000.0,4,2.25,7.346010209913293,8.93313654381203,2.0,0.0,0.0,3,8,1550,0.0,1993,0.0,7.396335293800808,6397
211,625504.0,3,2.25,7.146772179452637,7.356279876550748,2.0,0.0,0.0,3,8,1060,210.0,2014,0.0,7.05617528410041,1327
212,592500.0,4,2.5,7.7142311448490855,9.39532504618962,1.0,0.0,0.0,3,9,2240,0.0,1983,0.0,7.832014180505469,12368
213,465000.0,3,2.5,7.906178840394815,9.79456514531194,2.0,0.0,0.0,3,9,2714,0.0,2005,0.0,7.859413154693583,18386
214,477000.0,4,2.75,7.450079569807499,8.743531633626967,2.0,0.0,0.0,3,8,1720,0.0,1978,0.0,7.6638772587034705,8700
215,280000.0,2,1.0,6.745236349484363,9.70503661381229,1.0,0.0,0.0,3,6,850,0.0,1923,0.0,7.003065458786462,14459
217,445838.0,3,2.5,7.718685495198466,8.646816959209742,2.0,0.0,0.0,3,8,2250,0.0,2000,0.0,7.1853870155804165,5390
219,467000.0,2,1.5,7.1853870155804165,9.287301413112312,1.0,0.0,0.0,4,8,1320,0.0,1947,0.0,7.659171367666058,12040
220,686000.0,4,2.5,7.9229859587111955,8.770283819098399,2.0,0.0,0.0,3,10,2760,0.0,1999,0.0,8.029432840581244,8127
